station,hour,value
1042,7,0
1043,7,11
1044,7,9
1045,7,20
1046,7,35
1047,7,9
1048,7,53
1049,7,58
1050,7,0
1000,8,77
1001,8,66
1002,8,4
1003,8,6
1004,8,11
1005,8,6
1006,8,15
1007,8,12
1008,8,34
1009,8,23
1010,8,44
1011,8,13
1012,8,17
1013,8,21
1014,8,65
1015,8,69
1016,8,15
1017,8,89
1018,8,61
1019,8,28
1020,8,30
1021,8,56
1022,8,36
1023,8,64
1024,8,27
1025,8,19
1026,8,27
1027,8,7
1028,8,27
1029,8,44
1030,8,10
1031,8,13
1032,8,68
1033,8,67
1034,8,26
1035,8,6
1036,8,16
1037,8,0
1038,8,67
1039,8,20
1040,8,8
1041,8,8
1042,8,8
1043,8,6
1044,8,20
1045,8,35
1046,8,24
1047,8,14
1048,8,28
1049,8,104
1050,8,2
1000,9,31
1001,9,67
1002,9,21
1003,9,4
1004,9,18
1005,9,23
1006,9,16
1007,9,8
1008,9,19
1009,9,30
1010,9,65
1011,9,20
1012,9,40
1013,9,33
1014,9,23
1015,9,62
1016,9,11
1017,9,77
1018,9,73
1019,9,44
1020,9,41
1021,9,52
1022,9,32
1023,9,69
1024,9,22
1025,9,20
1026,9,13
1027,9,6
1028,9,4
1029,9,50
1030,9,12
1031,9,28
1032,9,28
1033,9,32
1034,9,24
1035,9,16
1036,9,16
1037,9,1
1038,9,40
1039,9,34
1040,9,11
1041,9,17
1042,9,5
1043,9,9
1044,9,17
1045,9,60
1046,9,36
1047,9,17
1048,9,34
1049,9,47
1050,9,11
1000,10,81
1001,10,106
1002,10,18
1003,10,15
1004,10,68
1005,10,27
1006,10,26
1007,10,11
1008,10,10
1009,10,27
1010,10,60
1011,10,40
1012,10,59
1013,10,50
1014,10,26
1015,10,55
1016,10,42
1017,10,122
1018,10,54
1019,10,54
1020,10,24
1021,10,25
1022,10,24
1023,10,25
1024,10,17
1025,10,13
1026,10,10
1027,10,5
1028,10,22
1029,10,52
1030,10,15
1031,10,16
1032,10,37
1033,10,61
1034,10,23
1035,10,16
1036,10,22
1037,10,1
1038,10,36
1039,10,25
1040,10,19
1041,10,22
1042,10,4
1043,10,7
1044,10,27
1045,10,133
1046,10,66
1047,10,29
1048,10,40
1049,10,51
1050,10,19
1000,11,136
1001,11,146
1002,11,23
1003,11,22
1004,11,60
1005,11,48
1006,11,35
1007,11,30
1008,11,20
1009,11,66
1010,11,115
1011,11,72
1012,11,72
1013,11,100
1014,11,46
1015,11,61
1016,11,46
1017,11,108
1018,11,46
1019,11,81
1020,11,17
1021,11,27
1022,11,34
1023,11,26
1024,11,35
1025,11,21
1026,11,20
1027,11,7
1028,11,33
1029,11,30
1030,11,5
1031,11,24
1032,11,25
1033,11,73
1034,11,33
1035,11,30
1036,11,48
1037,11,2
1038,11,28
1039,11,29
1040,11,20
1041,11,35
1042,11,4
1043,11,20
1044,11,27
1045,11,160
1046,11,54
1047,11,31
1048,11,48
1049,11,45
1050,11,20
1000,12,158
1001,12,187
1002,12,44
1003,12,40
1004,12,59
1005,12,58
1006,12,64
1007,12,48
1008,12,20
1009,12,66
1010,12,163
1011,12,73
1012,12,121
1013,12,102
1014,12,33
1015,12,71
1016,12,96
1017,12,172
1018,12,61
