station,hour,value
1016,15,301
1016,16,238
1016,17,174
1016,18,203
1016,19,135
1016,20,110
1016,21,35
1016,22,16
1016,23,29
1017,24,32
1017,1,1
1017,2,5
1017,3,5
1017,4,1
1017,5,5
1017,6,33
1017,7,159
1017,8,211
1017,9,237
1017,10,294
1017,11,310
1017,12,511
1017,13,481
1017,14,473
1017,15,340
1017,16,392
1017,17,372
1017,18,315
1017,19,230
1017,20,130
1017,21,63
1017,22,51
1017,23,13
1018,24,16
1018,1,5
1018,2,5
1018,3,0
1018,4,1
1018,5,53
1018,6,6
1018,7,78
1018,8,124
1018,9,142
1018,10,121
1018,11,132
1018,12,167
1018,13,167
1018,14,170
1018,15,129
1018,16,110
1018,17,104
1018,18,130
1018,19,108
1018,20,75
1018,21,46
1018,22,18
1018,23,17
1019,24,50
1019,1,23
1019,2,9
1019,3,2
1019,4,6
1019,5,5
1019,6,20
1019,7,209
1019,8,94
1019,9,136
1019,10,134
1019,11,211
1019,12,208
1019,13,199
1019,14,144
1019,15,168
1019,16,136
1019,17,159
1019,18,161
1019,19,137
1019,20,102
1019,21,42
1019,22,44
1019,23,41
1020,24,13
1020,1,13
1020,2,10
1020,3,3
1020,4,2
1020,5,14
1020,6,7
1020,7,55
1020,8,178
1020,9,159
1020,10,81
1020,11,84
1020,12,82
1020,13,99
1020,14,125
1020,15,116
1020,16,214
1020,17,189
1020,18,138
1020,19,87
1020,20,46
1020,21,40
1020,22,17
1020,23,30
1021,24,12
1021,1,14
1021,2,9
1021,3,3
1021,4,5
1021,5,15
1021,6,13
1021,7,94
1021,8,175
1021,9,134
1021,10,86
1021,11,102
1021,12,102
1021,13,105
1021,14,95
1021,15,109
1021,16,101
1021,17,85
1021,18,111
1021,19,62
1021,20,62
1021,21,40
1021,22,28
1021,23,31
1022,24,15
1022,1,15
1022,2,17
1022,3,4
1022,4,5
1022,5,13
1022,6,29
1022,7,53
1022,8,103
1022,9,115
1022,10,94
1022,11,98
1022,12,91
1022,13,99
1022,14,119
1022,15,96
1022,16,100
1022,17,77
1022,18,104
1022,19,90
1022,20,65
1022,21,45
1022,22,25
1022,23,24
1023,24,11
1023,1,9
1023,2,42
1023,3,17
1023,4,10
